Meter No.,Data Start Time,Data End Time,Active energy import A+(1.8.0)
21102097598,2023-05-21 04:00:00,2023-05-21 04:15:00,0.172
21102097598,2023-05-21 03:45:00,2023-05-21 04:00:00,0.164
21102097598,2023-05-21 03:30:00,2023-05-21 03:45:00,0.147
21102097598,2023-05-21 03:15:00,2023-05-21 03:30:00,0.175
21102097598,2023-05-21 03:00:00,2023-05-21 03:15:00,0.178
21102097598,2023-05-21 02:45:00,2023-05-21 03:00:00,0.199
21102097598,2023-05-21 02:30:00,2023-05-21 02:45:00,0.162
21102097598,2023-05-21 02:15:00,2023-05-21 02:30:00,0.187
21102097598,2023-05-21 02:00:00,2023-05-21 02:15:00,0.18
21102097598,2023-05-21 01:45:00,2023-05-21 02:00:00,0.195
21102097598,2023-05-21 01:30:00,2023-05-21 01:45:00,0.197
21102097598,2023-05-21 01:15:00,2023-05-21 01:30:00,0.192
21102097598,2023-05-21 01:00:00,2023-05-21 01:15:00,0.196
21102097598,2023-05-21 00:45:00,2023-05-21 01:00:00,0.157
21102097598,2023-05-21 00:30:00,2023-05-21 00:45:00,0.185
21102097598,2023-05-21 00:15:00,2023-05-21 00:30:00,0.164
21102097598,2023-05-21 00:00:00,2023-05-21 00:15:00,0.19
21102097598,2023-05-20 23:45:00,2023-05-21 00:00:00,0.181
21102097598,2023-05-20 23:30:00,2023-05-20 23:45:00,0.195
21102097598,2023-05-20 23:15:00,2023-05-20 23:30:00,0.2
21102097598,2023-05-20 23:00:00,2023-05-20 23:15:00,0.188
21102097598,2023-05-20 22:45:00,2023-05-20 23:00:00,0.166
21102097598,2023-05-20 22:30:00,2023-05-20 22:45:00,0.184
21102097598,2023-05-20 22:15:00,2023-05-20 22:30:00,0.236
21102097598,2023-05-20 22:00:00,2023-05-20 22:15:00,0.314
21102097598,2023-05-20 21:45:00,2023-05-20 22:00:00,0.306
21102097598,2023-05-20 21:30:00,2023-05-20 21:45:00,0.276
21102097598,2023-05-20 21:15:00,2023-05-20 21:30:00,0.24
21102097598,2023-05-20 21:00:00,2023-05-20 21:15:00,0.25
21102097598,2023-05-20 20:45:00,2023-05-20 21:00:00,0.235
21102097598,2023-05-20 20:30:00,2023-05-20 20:45:00,0.211
21102097598,2023-05-20 20:15:00,2023-05-20 20:30:00,0.166
21102097598,2023-05-20 20:00:00,2023-05-20 20:15:00,0.112
21102097598,2023-05-20 19:45:00,2023-05-20 20:00:00,0.042
